    1024,    8,        128,     19.001,MegaMults/Sec
    1024,   16,         64,     14.117,MegaMults/Sec
    1024,   32,         32,     16.398,MegaMults/Sec
    1024,   64,         16,     22.022,MegaMults/Sec
    1024,  128,          8,     14.336,MegaMults/Sec
    1024,  256,          4,     15.938,MegaMults/Sec
    1024,  512,          2,     11.236,MegaMults/Sec
  524288,    8,      65536,    987.555,MegaMults/Sec
  524288,   16,      32768,   1699.965,MegaMults/Sec
  524288,   32,      16384,   1696.001,MegaMults/Sec
  524288,   64,       8192,   1705.678,MegaMults/Sec
  524288,  128,       4096,   1508.130,MegaMults/Sec
  524288,  256,       2048,   1756.161,MegaMults/Sec
  524288,  512,       1024,   1364.750,MegaMults/Sec
 1048576,    8,     131072,   1566.421,MegaMults/Sec
 1048576,   16,      65536,   2557.427,MegaMults/Sec
 1048576,   32,      32768,   3335.208,MegaMults/Sec
 1048576,   64,      16384,   2786.906,MegaMults/Sec
 1048576,  128,       8192,   3669.789,MegaMults/Sec
 1048576,  256,       4096,   3274.528,MegaMults/Sec
 1048576,  512,       2048,   3772.372,MegaMults/Sec
 2097152,    8,     262144,   2179.944,MegaMults/Sec
 2097152,   16,     131072,   3154.656,MegaMults/Sec
 2097152,   32,      65536,   4627.717,MegaMults/Sec
 2097152,   64,      32768,   4929.407,MegaMults/Sec
 2097152,  128,      16384,   4759.591,MegaMults/Sec
 2097152,  256,       8192,   4458.478,MegaMults/Sec
 2097152,  512,       4096,   4176.936,MegaMults/Sec
 4194304,    8,     524288,   2276.094,MegaMults/Sec
 4194304,   16,     262144,   4142.273,MegaMults/Sec
 4194304,   32,     131072,   5600.455,MegaMults/Sec
 4194304,   64,      65536,   7010.393,MegaMults/Sec
 4194304,  128,      32768,   5316.682,MegaMults/Sec
 4194304,  256,      16384,   8157.252,MegaMults/Sec
 4194304,  512,       8192,   7355.447,MegaMults/Sec
 8388608,    8,    1048576,   2620.090,MegaMults/Sec
 8388608,   16,     524288,   4704.215,MegaMults/Sec
 8388608,   32,     262144,   7534.565,MegaMults/Sec
 8388608,   64,     131072,   8882.577,MegaMults/Sec
 8388608,  128,      65536,  10108.011,MegaMults/Sec
 8388608,  256,      32768,  10438.045,MegaMults/Sec
 8388608,  512,      16384,   1384.314,MegaMults/Sec
