        1024	N     221.61	S    1815.87	(  8.19)	N     241.76	S    1790.74	(  7.41)
       12288	N     221.71	S    1813.13	(  8.18)	N     241.68	S    1851.16	(  7.66)
      147456	N     221.46	S    1322.53	(  5.97)	N     241.88	S    1809.21	(  7.48)
     1769472	N     214.91	S     809.25	(  3.77)	N     236.51	S    1315.76	(  5.56)
     3538944	N     214.77	S     729.25	(  3.40)	N     235.06	S    1104.09	(  4.70)
